,fitness
0,6.094337705962191e-07
1,2.7746709386471845e-06
2,1.6905106015243161e-06
3,1.1279052899380406e-06
4,6.456395310271372e-07
5,8.461477638802677e-07
6,1.1007513905387872e-06
7,3.821458721968967e-07
8,1.5031556835421563e-06
9,1.305328181369132e-06
0,6.604498968077021e-07
1,1.1879043749750445e-06
2,4.118995297946975e-07
3,1.0001711724732869e-07
4,2.175066340652555e-06
5,3.3909681905067818e-06
6,1.0983871662137852e-06
7,3.630287313206785e-07
8,1.159627221124343e-06
9,2.985524712176056e-07
10,2.8383326484353697e-08
11,9.244227363561398e-07
12,1.5447170598198745e-07
13,1.7097689432018313e-07
14,2.8279747797411497e-07
15,3.62785492788334e-08
16,6.437822458744624e-08
17,1.0130669878172725e-07
18,5.490365081665612e-07
19,5.052599060966e-08
